iter	Passed	Remaining
477	10527	11496
478	10550	11475
479	10571	11452
480	10591	11428
481	10628	11422
482	10658	11408
483	10690	11397
484	10709	11372
485	10725	11343
486	10745	11319
487	10763	11293
488	10786	11271
489	10803	11243
490	10823	11220
491	10842	11195
492	10870	11179
493	10889	11154
494	10920	11141
495	10945	11122
496	10969	11102
497	10994	11082
498	11016	11060
499	11035	11035
500	11061	11017
501	11094	11005
502	11115	10983
503	11141	10965
504	11162	10941
505	11184	10919
506	11211	10902
507	11237	10883
508	11257	10859
509	11274	10831
510	11305	10818
511	11343	10811
512	11361	10785
513	11384	10764
514	11403	10738
515	11425	10717
516	11455	10701
517	11483	10685
518	11509	10667
519	11541	10653
520	11567	10635
521	11593	10616
522	11619	10597
523	11646	10579
524	11670	10559
525	11694	10538
526	11728	10526
527	11752	10505
528	11777	10486
529	11804	10467
530	11840	10457
531	11863	10436
532	11887	10415
533	11921	10403
534	11964	10398
535	11993	10382
536	12013	10357
537	12037	10337
538	12059	10314
539	12083	10293
540	12111	10275
541	12141	10259
542	12172	10244
543	12210	10234
544	12238	10217
545	12262	10196
546	12286	10175
547	12319	10161
548	12345	10141
549	12375	10125
550	12402	10106
551	12432	10090
552	12459	10071
553	12486	10052
554	12508	10029
555	12532	10007
556	12552	9983
557	12580	9965
558	12603	9943
559	12625	9920
560	12647	9897
561	12666	9871
562	12694	9853
563	12718	9831
564	12738	9807
565	12766	9789
566	12789	9766
567	12811	9743
568	12833	9721
569	12863	9703
570	12885	9681
571	12905	9656
572	12927	9633
573	12944	9606
574	12962	9580
575	12990	9562
576	13020	9545
577	13042	9522
578	13059	9495
579	13082	9473
580	13103	9449
581	13122	9424
582	13144	9401
583	13166	9378
584	13185	9353
585	13211	9333
586	13229	9307
587	13250	9284
588	13285	9270
589	13331	9263
590	13353	9240
591	13399	9234
592	13432	9219
593	13465	9203
594	13497	9187
595	13531	9172
596	13576	9164
597	13628	9161
598	13663	9146
599	13694	9129
600	13715	9105
601	13742	9085
602	13767	9064
603	13793	9043
604	13817	9021
605	13841	8999
606	13864	8976
607	13881	8949
608	13901	8925
609	13923	8901
610	13948	8880
611	13972	8858
612	14000	8838
613	14017	8812
614	14036	8786
615	14060	8765
616	14081	8741
617	14105	8718
618	14133	8699
619	14176	8688
620	14207	8671
621	14227	8646
622	14245	8620
623	14272	8600
624	14301	8580
625	14326	8559
626	14347	8535
627	14376	8515
628	14401	8494
629	14425	8472
630	14443	8446
631	14465	8422
632	14489	8400
633	14509	8375
634	14528	8350
635	14548	8326
636	14576	8306
637	14600	8284
638	14630	8265
639	14663	8248
640	14689	8227
641	14715	8206
642	14738	8182
643	14769	8164
644	14800	8146
645	14834	8129
646	14857	8106
647	14907	8098
648	14934	8076
649	14983	8068
650	15017	8050
651	15043	8029
652	15070	8008
653	15089	7983
654	15108	7958
655	15144	7941
656	15184	7927
657	15217	7909
658	15254	7893
659	15283	7873
660	15302	7848
661	15321	7822
662	15341	7798
663	15365	7775
664	15390	7752
665	15432	7739
666	15475	7726
667	15508	7707
668	15577	7707
669	15635	7700
670	15682	7689
671	15718	7672
672	15791	7672
673	15819	7651
674	15839	7626
675	15866	7604
676	15892	7582
677	15920	7560
678	15940	7535
679	15965	7513
680	15996	7493
681	16028	7473
682	16050	7449
683	16072	7425
684	16094	7401
685	16128	7382
686	16164	7364
687	16187	7340
688	16212	7318
689	16242	7297
690	16263	7272
691	16281	7246
692	16307	7224
693	16332	7201
694	16366	7182
695	16386	7157
696	16403	7130
697	16423	7106
698	16443	7080
699	16460	7054
700	16482	7030
701	16505	7006
702	16559	6995
703	16605	6981
704	16652	6967
705	16685	6948
706	16717	6928
707	16748	6907
708	16780	6887
709	16815	6868
710	16841	6845
711	16903	6837
712	16935	6816
713	16958	6792
714	16982	6769
715	17008	6746
716	17034	6723
717	17065	6702
718	17081	6675
719	17098	6649
720	17125	6626
721	17156	6606
722	17178	6581
723	17222	6565
724	17261	6547
725	17285	6523
726	17308	6499
727	17337	6477
728	17361	6454
729	17389	6431
730	17411	6407
731	17437	6384
732	17459	6359
733	17483	6336
734	17504	6311
735	17525	6286
736	17551	6263
737	17580	6241
738	17600	6216
739	17621	6191
740	17646	6167
741	17669	6143
742	17694	6120
743	17718	6096
744	17739	6071
745	17762	6047
746	17779	6021
747	17802	5997
748	17824	5973
749	17855	5951
750	17878	5927
751	17904	5904
752	17930	5881
753	17968	5862
754	17993	5838
755	18012	5813
756	18035	5789
757	18056	5764
758	18090	5743
759	18116	5720
760	18140	5697
761	18157	5671
762	18180	5647
763	18216	5627
764	18240	5603
765	18274	5582
766	18299	5559
767	18332	5537
768	18363	5516
769	18384	5491
770	18404	5466
771	18421	5440
772	18447	5417
773	18475	5394
774	18497	5370
775	18525	5347
776	18553	5324
777	18576	5300
778	18612	5280
779	18639	5257
780	18679	5237
781	18702	5213
782	18727	5190
783	18759	5168
784	18786	5145
785	18813	5122
786	18841	5099
787	18864	5075
788	18890	5051
789	18912	5027
790	18936	5003
791	18976	4983
792	19019	4964
793	19051	4942
794	19084	4921
795	19110	4897
796	19139	4874
797	19178	4854
798	19228	4837
799	19280	4820
800	19315	4798
801	19343	4775
802	19370	4752
803	19393	4727
804	19431	4706
805	19452	4682
806	19498	4663
807	19551	4645
808	19615	4631
809	19685	4617
810	19730	4598
811	19763	4575
812	19786	4551
813	19829	4531
814	19867	4509
815	19957	4500
816	20024	4485
817	20060	4463
818	20105	4443
819	20134	4419
820	20160	4395
821	20185	4371
822	20209	4346
823	20266	4328
824	20297	4305
825	20316	4279
826	20349	4256
827	20377	4232
828	20399	4207
829	20430	4184
830	20454	4159
831	20487	4136
832	20509	4111
833	20558	4091
834	20587	4068
835	20614	4043
836	20638	4019
837	20671	3996
838	20703	3972
839	20723	3947
840	20744	3921
841	20774	3898
842	20798	3873
843	20828	3849
844	20857	3825
845	20880	3800
846	20897	3774
847	20925	3750
848	20959	3727
849	20990	3704
850	21018	3680
851	21042	3655
852	21062	3629
853	21079	3603
854	21099	3578
855	21116	3552
856	21146	3528
857	21176	3504
858	21205	3480
859	21231	3456
860	21253	3431
861	21290	3408
862	21312	3383
863	21339	3358
864	21362	3334
865	21383	3308
866	21406	3283
867	21431	3259
868	21466	3235
869	21499	3212
870	21531	3188
871	21576	3167
872	21611	3143
873	21658	3122
874	21705	3100
875	21738	3077
876	21782	3054
877	21815	3031
878	21839	3006
879	21863	2981
880	21893	2957
881	21930	2933
882	21968	2910
883	21995	2886
884	22028	2862
885	22060	2838
886	22090	2814
887	22115	2789
888	22142	2764
889	22171	2740
890	22208	2716
891	22247	2693
892	22284	2670
893	22309	2645
894	22344	2621
895	22380	2597
896	22412	2573
897	22443	2549
898	22476	2525
899	22507	2500
900	22531	2475
901	22561	2451
902	22581	2425
903	22614	2401
904	22632	2375
905	22660	2351
906	22691	2326
907	22719	2301
908	22747	2277
909	22776	2252
910	22801	2227
911	22829	2202
912	22848	2177
913	22869	2151
914	22906	2127
915	22934	2103
916	22980	2080
917	23021	2056
918	23065	2032
919	23089	2007
920	23120	1983
921	23146	1958
922	23174	1933
923	23198	1908
924	23230	1883
925	23260	1858
926	23284	1833
927	23308	1808
928	23325	1782
929	23348	1757
930	23369	1731
931	23388	1706
932	23407	1680
933	23427	1655
934	23449	1630
935	23476	1605
936	23510	1580
937	23538	1555
938	23556	1530
939	23577	1504
940	23601	1479
941	23622	1454
942	23643	1429
943	23693	1405
944	23737	1381
945	23768	1356
946	23820	1333
947	23856	1308
948	23908	1284
949	23965	1261
950	24000	1236
951	24034	1211
952	24065	1186
953	24098	1161
954	24135	1137
955	24176	1112
956	24201	1087
957	24234	1062
958	24290	1038
959	24316	1013
960	24370	989
961	24419	964
962	24448	939
963	24471	913
964	24487	888
965	24512	862
966	24534	837
967	24565	812
968	24595	786
969	24618	761
970	24643	735
971	24669	710
972	24696	685
973	24723	659
974	24746	634
975	24772	609
976	24805	583
977	24840	558
978	24866	533
979	24894	508
980	24923	482
981	24983	457
982	25018	432
983	25040	407
984	25076	381
985	25125	356
986	25153	331
987	25172	305
988	25202	280
989	25230	254
990	25267	229
991	25298	204
992	25347	178
993	25375	153
994	25401	127
995	25432	102
996	25456	76
997	25490	51
998	25517	25
999	25545	0
