iter	RMSE
258	1.515701095
259	1.513436373
260	1.512345642
261	1.51009033
262	1.509054784
263	1.508297334
264	1.5067618
265	1.505210445
266	1.504261388
267	1.503901781
268	1.50300915
269	1.501509655
270	1.498750542
271	1.497830954
272	1.496312597
273	1.494866333
274	1.493537791
275	1.492284671
276	1.491070387
277	1.490257291
278	1.489249228
279	1.487929318
280	1.486845308
281	1.485693995
282	1.483889837
283	1.482491375
284	1.481746221
285	1.479677184
286	1.478481662
287	1.477456299
288	1.47573196
289	1.474770614
290	1.473762021
291	1.47247189
292	1.471011773
293	1.469919863
294	1.469014322
295	1.467277193
296	1.466325635
297	1.464722108
298	1.463384308
299	1.462001372
300	1.46092033
301	1.459832357
302	1.458113241
303	1.457312345
304	1.456002173
305	1.454580302
306	1.45317115
307	1.451369908
308	1.450193183
309	1.449012991
310	1.448031641
311	1.44676438
312	1.446103024
313	1.445361039
314	1.44447823
315	1.443278582
316	1.442315321
317	1.441858951
318	1.440928253
319	1.439895955
320	1.43821364
321	1.43735701
322	1.43702257
323	1.435991177
324	1.434685404
325	1.43317878
326	1.431532375
327	1.431118454
328	1.429788709
329	1.428209844
330	1.427003087
331	1.426587892
332	1.425844871
333	1.425272837
334	1.424288295
335	1.423721736
336	1.422365399
337	1.421042464
338	1.419390164
339	1.418368312
340	1.41736379
341	1.416880231
342	1.415719646
343	1.414247497
344	1.413069201
345	1.412315804
346	1.411341549
347	1.410134294
348	1.408812652
349	1.408368732
350	1.407799657
351	1.407546125
352	1.405831793
353	1.404147624
354	1.403179918
355	1.402606789
356	1.40156483
357	1.400796602
358	1.398890965
359	1.398367717
360	1.396901655
361	1.395693083
362	1.393989798
363	1.393418105
364	1.391924135
365	1.390908431
366	1.389332594
367	1.388108583
368	1.387477131
369	1.386407588
370	1.38564487
371	1.385167695
372	1.384366055
373	1.38331227
374	1.382542496
375	1.38175287
376	1.380921039
377	1.380471355
378	1.37986161
379	1.377566747
380	1.376901751
381	1.376174918
382	1.375782437
383	1.374946031
384	1.373815922
385	1.373448008
386	1.372789954
387	1.371767926
388	1.371270538
389	1.370343513
390	1.369847184
391	1.367564102
392	1.366772396
393	1.366000633
394	1.364756914
395	1.364126622
396	1.363205277
397	1.36194953
398	1.361344608
399	1.36035194
400	1.3593975
401	1.358722548
402	1.356899274
403	1.35637595
404	1.35539807
405	1.354399392
406	1.353207117
407	1.352422568
408	1.350756971
409	1.350091379
410	1.349169672
411	1.348674653
412	1.347601514
413	1.346469828
414	1.345146217
415	1.343727051
416	1.343155808
417	1.342659923
418	1.342044843
419	1.341655689
420	1.340888877
421	1.340628072
422	1.340084614
423	1.339157342
424	1.338384743
425	1.337420208
426	1.336392446
427	1.335812133
428	1.335351125
429	1.334382716
430	1.333535289
431	1.333197735
432	1.332342344
433	1.330800293
434	1.330157056
435	1.329459419
436	1.328398539
437	1.327747375
438	1.326757331
439	1.325344778
440	1.324629157
441	1.323999154
442	1.323039958
443	1.322584451
444	1.321398809
445	1.32039403
446	1.319092492
447	1.317880153
448	1.316727624
449	1.315339677
450	1.314738092
451	1.313977421
452	1.312817403
453	1.312048425
454	1.310744672
455	1.310179963
456	1.309663065
457	1.308644987
458	1.307870418
459	1.307419424
460	1.306459099
461	1.305657389
462	1.305091472
463	1.304817505
464	1.304507595
465	1.303573418
466	1.302672845
467	1.301786019
468	1.301138963
469	1.299946116
470	1.299512789
471	1.299000714
472	1.298320263
473	1.297346565
474	1.297126416
475	1.296361907
476	1.295771324
477	1.295193053
478	1.294645637
479	1.293474778
480	1.292002004
481	1.290841669
482	1.290169756
483	1.289894265
484	1.28937306
485	1.28874804
486	1.287703846
487	1.286749583
488	1.28623265
489	1.285252353
490	1.284495064
491	1.28394827
492	1.282840034
493	1.282019309
494	1.281268172
495	1.280347833
496	1.279838268
497	1.278278011
498	1.277842601
499	1.276866517
500	1.275992191
501	1.275268201
502	1.274452857
503	1.273409496
504	1.272636514
505	1.271522431
506	1.270632279
507	1.269871031
508	1.268577831
509	1.268064511
510	1.267111313
511	1.26616737
512	1.26531286
513	1.264313481
514	1.264104405
515	1.263415997
516	1.263098177
517	1.262250591
518	1.260915681
519	1.26046484
520	1.259683299
521	1.258969923
522	1.258586303
523	1.258130166
524	1.256605803
525	1.25589044
526	1.255195327
527	1.254934578
528	1.253938754
529	1.253317356
530	1.252768602
531	1.25237493
532	1.251907326
533	1.251114992
534	1.250264705
535	1.249850281
536	1.249039109
537	1.248579631
538	1.247965451
539	1.247303727
540	1.246615513
541	1.246190524
542	1.245290514
543	1.24459639
544	1.244152734
545	1.243531621
546	1.243181078
547	1.242088782
548	1.241199144
549	1.240520976
550	1.239807742
551	1.239075882
552	1.23869861
553	1.237624086
554	1.236744909
555	1.235502699
556	1.235010192
557	1.234705342
558	1.233956909
559	1.233442026
560	1.233107138
561	1.232436412
562	1.231580896
563	1.230797146
564	1.229496648
565	1.228778829
566	1.228517645
567	1.228185489
568	1.227596467
569	1.226798654
570	1.226042552
571	1.225296264
572	1.224826406
573	1.224189963
574	1.22322875
575	1.222684689
576	1.221922178
577	1.221736148
578	1.221056588
579	1.220495621
580	1.219856935
581	1.219496193
582	1.219051344
583	1.218787466
584	1.218612668
585	1.218110887
586	1.21753491
587	1.216485387
588	1.216102039
589	1.21554148
590	1.215210281
591	1.21475687
592	1.214421694
593	1.214086381
594	1.213526691
595	1.212631686
596	1.211680932
597	1.210741476
598	1.21033864
599	1.209616461
600	1.208757575
601	1.208553691
602	1.207520792
603	1.206993073
604	1.206369664
605	1.205930759
606	1.205028965
607	1.204394537
608	1.203789438
609	1.203113585
610	1.202621345
611	1.202069606
612	1.201349719
613	1.200891478
614	1.200469521
615	1.199840875
616	1.199343604
617	1.198724032
618	1.19811527
619	1.19730428
620	1.196751005
621	1.195961358
622	1.195473471
623	1.194935802
624	1.19446381
625	1.193891553
626	1.193380895
627	1.192729778
628	1.191860717
629	1.191462879
630	1.191093473
631	1.190602448
632	1.19019351
633	1.189660612
634	1.188893856
635	1.18850747
636	1.187858275
637	1.187537009
638	1.187087482
639	1.186414783
640	1.185896677
641	1.185237871
642	1.184866891
643	1.183961019
644	1.183575206
645	1.183226861
646	1.182558883
647	1.182199477
648	1.181775246
649	1.181094401
650	1.179762863
651	1.179565807
652	1.178657538
653	1.17843755
654	1.177517144
655	1.177031739
656	1.17641505
657	1.175965379
658	1.175214045
659	1.174710456
660	1.174443961
661	1.173783
662	1.173493148
663	1.172977053
664	1.172391307
665	1.172240529
666	1.1719382
667	1.171148356
668	1.170780046
669	1.170463512
670	1.170027612
671	1.169401153
672	1.16854391
673	1.167505278
674	1.166923464
675	1.166445108
676	1.166116844
677	1.165486946
678	1.165082764
679	1.164721292
680	1.164322384
681	1.163814552
682	1.16362751
683	1.163220958
684	1.162882766
685	1.162461329
686	1.16176928
687	1.161296323
688	1.160947272
689	1.159927095
690	1.159795011
691	1.159234274
692	1.158018279
693	1.157448809
694	1.157004332
695	1.156618747
696	1.156218973
697	1.155685255
698	1.15521451
699	1.154876985
700	1.154271241
701	1.153967621
702	1.153468149
703	1.152562259
704	1.152146397
705	1.151886827
706	1.151445539
707	1.150616482
708	1.150149879
709	1.149956724
710	1.149294126
711	1.148809127
712	1.148197781
713	1.147664897
714	1.147357629
715	1.146798513
716	1.146588923
717	1.146286278
718	1.145805252
719	1.145133671
720	1.144890854
721	1.144479298
722	1.144075677
723	1.143554991
724	1.142761976
725	1.142503097
726	1.141221075
727	1.140743866
728	1.140390477
729	1.139869592
730	1.13900737
731	1.138551914
732	1.138041137
733	1.137633995
734	1.13704737
735	1.13670851
736	1.136396043
737	1.135981101
738	1.135721967
739	1.135092393
740	1.134678913
741	1.13431328
742	1.133897787
743	1.133191624
744	1.132758016
745	1.132542448
746	1.131856723
747	1.131568377
748	1.131128283
749	1.130802127
750	1.130146232
751	1.129375745
752	1.128409207
753	1.127936685
754	1.12708584
755	1.126904065
756	1.126404652
757	1.125749366
758	1.12538629
759	1.125001462
760	1.124812781
761	1.124357881
762	1.123930276
763	1.123245744
764	1.122838761
765	1.122536888
766	1.122395872
767	1.122258578
768	1.121606742
769	1.121424934
770	1.121156153
771	1.120986306
772	1.120619392
773	1.119900666
774	1.119667093
775	1.119314065
776	1.119088073
777	1.118700692
778	1.118205715
779	1.11785118
780	1.117591901
781	1.117259105
782	1.116723417
783	1.116384558
784	1.115706577
785	1.114949455
786	1.114657028
787	1.114311053
788	1.113591342
789	1.11303604
790	1.112635833
791	1.112284632
792	1.111909854
793	1.111779247
794	1.111537956
795	1.111267344
796	1.110810879
797	1.110502104
798	1.109837793
799	1.109654832
800	1.109085122
801	1.108678332
802	1.10808119
803	1.107392975
804	1.107038356
805	1.106636638
806	1.106313294
807	1.105719224
808	1.105054599
809	1.104445038
810	1.104039301
811	1.103399602
812	1.102941203
813	1.102674375
814	1.102150982
815	1.101329693
816	1.101073391
817	1.100704107
818	1.10049162
819	1.100313532
820	1.099867414
821	1.099349077
822	1.098789528
823	1.098299158
824	1.098021246
825	1.097535054
826	1.096605842
827	1.096114322
828	1.095675195
829	1.095188874
830	1.094231693
831	1.093983984
832	1.093844841
833	1.093317967
834	1.093184715
835	1.092574037
836	1.092128259
837	1.091864882
838	1.091556459
839	1.09117761
840	1.090888647
841	1.08950975
842	1.089215483
843	1.088607137
844	1.088162525
845	1.087867539
846	1.087580386
847	1.087020697
848	1.086704386
849	1.08617987
850	1.085910858
851	1.085408062
852	1.084899176
853	1.084569499
854	1.084192068
855	1.083936607
856	1.083598048
857	1.083231605
858	1.083026887
859	1.082452832
860	1.081584667
861	1.081226924
862	1.080656426
863	1.080261553
864	1.079765955
865	1.079246413
866	1.078979267
867	1.078627492
868	1.07822848
869	1.077939458
870	1.07760406
871	1.077198769
872	1.076930182
873	1.076263924
874	1.07582779
875	1.075535347
876	1.075215076
877	1.074898335
878	1.073726014
879	1.073490029
880	1.073036695
881	1.072693102
882	1.072183783
883	1.071805518
884	1.07142611
885	1.071212885
886	1.071065062
887	1.070715377
888	1.070389025
889	1.069725378
890	1.069496422
891	1.06931503
892	1.068937559
893	1.068695913
894	1.068208926
895	1.067774754
896	1.067276737
897	1.067058006
898	1.066757394
899	1.066389755
900	1.065512559
901	1.065185245
902	1.065037237
903	1.064608893
904	1.064097769
905	1.063769436
906	1.063447149
907	1.062932941
908	1.062621549
909	1.06207163
910	1.061553496
911	1.061378189
912	1.060970629
913	1.060716084
914	1.060063196
915	1.059814304
916	1.058963687
917	1.058587114
918	1.058035642
919	1.05771695
920	1.057126778
921	1.056714938
922	1.05616116
923	1.055804839
924	1.05551095
925	1.055209906
926	1.054782348
927	1.053993113
928	1.053647784
929	1.05302591
930	1.052591434
931	1.052384718
932	1.052122133
933	1.051942738
934	1.05144945
935	1.051203515
936	1.05095121
937	1.050498387
938	1.05015611
939	1.049850096
940	1.049554598
941	1.048634886
942	1.048356082
943	1.047932633
944	1.047237255
945	1.046779354
946	1.046375387
947	1.046089317
948	1.045842097
949	1.045534815
950	1.045082268
951	1.044686732
952	1.04440762
953	1.044021103
954	1.043848588
955	1.043267576
956	1.042966995
957	1.042457574
958	1.042084729
959	1.041909991
960	1.041686132
961	1.041266809
962	1.040769548
963	1.040380098
964	1.039865336
965	1.039617012
966	1.039162795
967	1.038961205
968	1.038515873
969	1.038188477
970	1.03779864
971	1.037359939
972	1.036970671
973	1.036412026
974	1.036120817
975	1.035931722
976	1.035510768
977	1.035236353
978	1.034797816
979	1.034270808
980	1.034073709
981	1.032563465
982	1.032123065
983	1.031926245
984	1.031356279
985	1.031056553
986	1.030824121
987	1.030450707
988	1.030330814
989	1.029907173
990	1.029700674
991	1.029582212
992	1.029190972
993	1.028793787
994	1.028506902
995	1.028175631
996	1.028010966
997	1.027440561
998	1.027328697
999	1.027129932
